SepalLength,SepalWidth,PetalLength,PetalWidth,color,nivel,Class
5.9,3,5.1,1.8,amarillo,bajo,Iris-virginica
7.2,3,5.8,1.6,amarillo,alto,Iris-virginica
7.7,3,6.1,2.3,azul,alto,Iris-virginica
5.1,3.4,1.5,0.2,rojo,bajo,Iris-setosa
6.7,3.1,4.4,1.4,amarillo,bajo,Iris-versicolor
5.6,2.5,3.9,1.1,rojo,bajo,Iris-versicolor
5.9,3,4.2,1.5,rojo,bajo,Iris-versicolor
6.1,2.8,4,1.3,amarillo,alto,Iris-versicolor
5.3,3.7,1.5,0.2,rojo,alto,Iris-setosa
7.2,3.6,6.1,2.5,rojo,alto,Iris-virginica
5,3.2,1.2,0.2,amarillo,alto,Iris-setosa
5,2.3,3.3,1,amarillo,bajo,Iris-versicolor
6.7,3.3,5.7,2.1,azul,bajo,Iris-virginica
5.4,3.9,1.3,0.4,azul,bajo,Iris-setosa
5,3.4,1.5,0.2,amarillo,bajo,Iris-setosa
5.5,3.5,1.3,0.2,amarillo,bajo,Iris-setosa
4.8,3.4,1.9,0.2,azul,alto,Iris-setosa
6.8,2.8,4.8,1.4,azul,alto,Iris-versicolor
4.9,3.1,1.5,0.1,rojo,alto,Iris-setosa
6.6,3,4.4,1.4,rojo,alto,Iris-versicolor
6.3,2.3,4.4,1.3,azul,bajo,Iris-versicolor
6.1,2.9,4.7,1.4,rojo,alto,Iris-versicolor
5.7,3,4.2,1.2,azul,bajo,Iris-versicolor
5.4,3.7,1.5,0.2,azul,alto,Iris-setosa
6.2,2.2,4.5,1.5,rojo,bajo,Iris-versicolor
6.7,3.3,5.7,2.5,rojo,bajo,Iris-virginica
6.3,2.5,4.9,1.5,rojo,bajo,Iris-versicolor
5.1,3.5,1.4,0.2,amarillo,bajo,Iris-setosa
6.3,2.9,5.6,1.8,azul,alto,Iris-virginica
4.9,3,1.4,0.2,amarillo,bajo,Iris-setosa
6,2.7,5.1,1.6,rojo,bajo,Iris-versicolor
5.5,2.3,4,1.3,amarillo,alto,Iris-versicolor
5.2,3.4,1.4,0.2,rojo,bajo,Iris-setosa
6.6,2.9,4.6,1.3,rojo,bajo,Iris-versicolor
5.5,2.4,3.8,1.1,rojo,alto,Iris-versicolor
5,3.4,1.6,0.4,rojo,bajo,Iris-setosa
6,3,4.8,1.8,azul,bajo,Iris-virginica
6.1,3,4.9,1.8,amarillo,alto,Iris-virginica
4.4,3.2,1.3,0.2,amarillo,bajo,Iris-setosa
5.1,3.7,1.5,0.4,azul,bajo,Iris-setosa
7.3,2.9,6.3,1.8,azul,alto,Iris-virginica
5.1,3.3,1.7,0.5,rojo,bajo,Iris-setosa
6.9,3.2,5.7,2.3,azul,alto,Iris-virginica
7.1,3,5.9,2.1,amarillo,alto,Iris-virginica
6.2,2.8,4.8,1.8,amarillo,bajo,Iris-virginica
6.7,3.1,5.6,2.4,amarillo,alto,Iris-virginica
5.8,2.7,5.1,1.9,rojo,alto,Iris-virginica
6,3.4,4.5,1.6,amarillo,alto,Iris-versicolor
7.2,3.2,6,1.8,azul,bajo,Iris-virginica
6.9,3.1,5.4,2.1,azul,bajo,Iris-virginica
6.1,2.6,5.6,1.4,rojo,bajo,Iris-virginica
6.5,3,5.8,2.2,amarillo,bajo,Iris-virginica
6,2.2,5,1.5,rojo,alto,Iris-virginica
6.5,3,5.5,1.8,azul,alto,Iris-virginica
4.8,3,1.4,0.1,azul,alto,Iris-setosa
7.4,2.8,6.1,1.9,rojo,bajo,Iris-virginica
4.9,3.1,1.5,0.1,azul,bajo,Iris-setosa
6.4,3.2,4.5,1.5,rojo,bajo,Iris-versicolor
6.8,3,5.5,2.1,amarillo,alto,Iris-virginica
7,3.2,4.7,1.4,rojo,bajo,Iris-versicolor
5.5,2.5,4,1.3,amarillo,alto,Iris-versicolor
5.8,2.7,5.1,1.9,rojo,bajo,Iris-virginica
5.6,2.7,4.2,1.3,amarillo,bajo,Iris-versicolor
5,3.3,1.4,0.2,rojo,bajo,Iris-setosa
6.8,3.2,5.9,2.3,amarillo,bajo,Iris-virginica
6.3,2.5,5,1.9,azul,bajo,Iris-virginica
6.7,3.1,4.7,1.5,amarillo,alto,Iris-versicolor
5.4,3,4.5,1.5,amarillo,alto,Iris-versicolor
6.5,3.2,5.1,2,amarillo,bajo,Iris-virginica
6.4,2.9,4.3,1.3,azul,bajo,Iris-versicolor
5.8,2.7,3.9,1.2,rojo,bajo,Iris-versicolor
4.8,3.4,1.6,0.2,rojo,bajo,Iris-setosa
5.6,3,4.1,1.3,amarillo,bajo,Iris-versicolor
6.4,2.8,5.6,2.2,azul,alto,Iris-virginica
7.7,2.6,6.9,2.3,rojo,bajo,Iris-virginica
4.5,2.3,1.3,0.3,rojo,alto,Iris-setosa
6.5,2.8,4.6,1.5,rojo,bajo,Iris-versicolor
4.9,2.5,4.5,1.7,rojo,bajo,Iris-virginica
6.7,3,5,1.7,rojo,bajo,Iris-versicolor
5.7,2.8,4.1,1.3,rojo,alto,Iris-versicolor
5.1,3.8,1.6,0.2,amarillo,bajo,Iris-setosa
5.7,4.4,1.5,0.4,azul,bajo,Iris-setosa
7.7,2.8,6.7,2,azul,bajo,Iris-virginica
5,3.5,1.3,0.3,amarillo,bajo,Iris-setosa
6.9,3.1,4.9,1.5,azul,bajo,Iris-versicolor
4.9,3.1,1.5,0.1,rojo,bajo,Iris-setosa
4.6,3.6,1,0.2,rojo,bajo,Iris-setosa
6.4,2.7,5.3,1.9,amarillo,alto,Iris-virginica
4.4,2.9,1.4,0.2,amarillo,bajo,Iris-setosa
6.4,2.8,5.6,2.1,rojo,bajo,Iris-virginica
4.6,3.4,1.4,0.3,amarillo,bajo,Iris-setosa
4.6,3.2,1.4,0.2,amarillo,bajo,Iris-setosa
6.3,2.7,4.9,1.8,amarillo,alto,Iris-virginica
5.5,2.6,4.4,1.2,rojo,alto,Iris-versicolor
5.4,3.9,1.7,0.4,amarillo,bajo,Iris-setosa
4.8,3,1.4,0.3,amarillo,alto,Iris-setosa
5,3.5,1.6,0.6,amarillo,bajo,Iris-setosa
5.2,4.1,1.5,0.1,amarillo,bajo,Iris-setosa
4.3,3,1.1,0.1,rojo,alto,Iris-setosa
6.1,2.8,4.7,1.2,rojo,alto,Iris-versicolor
6.5,3,5.2,2,azul,alto,Iris-virginica
4.9,2.4,3.3,1,amarillo,bajo,Iris-versicolor
5.8,4,1.2,0.2,amarillo,bajo,Iris-setosa
5.9,3.2,4.8,1.8,rojo,bajo,Iris-versicolor
5.1,3.8,1.5,0.3,azul,alto,Iris-setosa
6.4,3.1,5.5,1.8,amarillo,alto,Iris-virginica
5.1,2.5,3,1.1,azul,alto,Iris-versicolor
5.7,2.6,3.5,1,amarillo,alto,Iris-versicolor
5.4,3.4,1.5,0.4,azul,bajo,Iris-setosa
5.1,3.5,1.4,0.3,rojo,alto,Iris-setosa
5.5,4.2,1.4,0.2,rojo,alto,Iris-setosa
5.1,3.8,1.9,0.4,amarillo,alto,Iris-setosa
5,3.6,1.4,0.2,rojo,alto,Iris-setosa
4.6,3.1,1.5,0.2,rojo,alto,Iris-setosa
6.3,3.3,6,2.5,amarillo,bajo,Iris-virginica
5.8,2.6,4,1.2,rojo,alto,Iris-versicolor
6.3,3.3,4.7,1.6,amarillo,bajo,Iris-versicolor
7.7,3.8,6.7,2.2,rojo,alto,Iris-virginica
5.4,3.4,1.7,0.2,amarillo,alto,Iris-setosa
5.6,2.8,4.9,2,amarillo,bajo,Iris-virginica
6.7,3,5.2,2.3,rojo,bajo,Iris-virginica
5.8,2.8,5.1,2.4,azul,bajo,Iris-virginica
5,3,1.6,0.2,amarillo,bajo,Iris-setosa
5.7,2.9,4.2,1.3,rojo,alto,Iris-versicolor
4.8,3.1,1.6,0.2,amarillo,alto,Iris-setosa
5.5,2.4,3.7,1,rojo,bajo,Iris-versicolor
5.7,2.5,5,2,amarillo,bajo,Iris-virginica
5.8,2.7,4.1,1,rojo,alto,Iris-versicolor
6,2.9,4.5,1.5,rojo,alto,Iris-versicolor
6.9,3.1,5.1,2.3,amarillo,bajo,Iris-virginica
7.6,3,6.6,2.1,amarillo,alto,Iris-virginica
4.7,3.2,1.3,0.2,azul,bajo,Iris-setosa
5.7,2.8,4.5,1.3,azul,alto,Iris-versicolor
6.1,3,4.6,1.4,rojo,bajo,Iris-versicolor
6.3,2.8,5.1,1.5,azul,alto,Iris-virginica
6.3,3.4,5.6,2.4,rojo,bajo,Iris-virginica
5.6,3,4.5,1.5,rojo,alto,Iris-versicolor
4.7,3.2,1.6,0.2,azul,bajo,Iris-setosa
5.2,3.5,1.5,0.2,amarillo,bajo,Iris-setosa
7.9,3.8,6.4,2,amarillo,bajo,Iris-virginica
